Name,Ticker,Country,Country Code,Exchange,Sector,More Info
A.G.F. Management Ltd. Cl B NV ,AGFMF,United States,US,OOTC,Investment Advisors,https://www.marketwatch.com//investing/Stock/AGFMF?countryCode=US
A.G.V. Products Corp. ,1217,Taiwan,TW,XTAI,Food Products,https://www.marketwatch.com//investing/Stock/1217?countryCode=TW
A.I.S. Resources Ltd. ,AIS,Canada,CA,XTSX,General Mining,https://www.marketwatch.com//investing/Stock/AIS?countryCode=CA
A.I.S. Resources Ltd. ,AISSF,United States,US,OOTC,General Mining,https://www.marketwatch.com//investing/Stock/AISSF?countryCode=US
A.J. Plast PCL ,AJ,Thailand,TH,XBKK,Chemicals,https://www.marketwatch.com//investing/Stock/AJ?countryCode=TH
A.K. Capital Services Ltd. ,530499,India,IN,XBOM,Investment Advisors,https://www.marketwatch.com//investing/Stock/530499?countryCode=IN
A.K. Spintex Ltd. ,539300,India,IN,XBOM,Clothing,https://www.marketwatch.com//investing/Stock/539300?countryCode=IN
a.k.a. Brands Holding Corp. ,AKA,United States,US,XNYS,Clothing Retail,https://www.marketwatch.com//investing/Stock/AKA?countryCode=US
A.O. Smith Corp. ,0L7A,United Kingdom,UK,XLON,Building Materials/Products,https://www.marketwatch.com//investing/Stock/0L7A?countryCode=UK
A.O. Smith Corp. ,AOS,United States,US,XNYS,Building Materials/Products,https://www.marketwatch.com//investing/Stock/AOS?countryCode=US
A.P. Moeller-Maersk A/S ADR ,AMKBY,United States,US,OOTC,Water Transport/Shipping,https://www.marketwatch.com//investing/Stock/AMKBY?countryCode=US
A.P. Moeller-Maersk A/S Series A ,AMKAF,United States,US,OOTC,Water Transport/Shipping,https://www.marketwatch.com//investing/Stock/AMKAF?countryCode=US
A.P. Moeller-Maersk A/S Series A ,MAERSK.A,Denmark,DK,XCSE,Water Transport/Shipping,https://www.marketwatch.com//investing/Stock/MAERSK.A?countryCode=DK
A.P. Moeller-Maersk A/S Series A ,0O76,United Kingdom,UK,XLON,Water Transport/Shipping,https://www.marketwatch.com//investing/Stock/0O76?countryCode=UK
A.P. Moeller-Maersk A/S Series B ,0O77,United Kingdom,UK,XLON,Water Transport/Shipping,https://www.marketwatch.com//investing/Stock/0O77?countryCode=UK
A.P. Moeller-Maersk A/S Series B ,MAERSK.B,Denmark,DK,XCSE,Water Transport/Shipping,https://www.marketwatch.com//investing/Stock/MAERSK.B?countryCode=DK
A.P. Moeller-Maersk A/S Series B ,AMKBF,United States,US,OOTC,Water Transport/Shipping,https://www.marketwatch.com//investing/Stock/AMKBF?countryCode=US
A.P.N. Promise S.A. ,PRO,Poland,PL,XWAR,Computer Services,https://www.marketwatch.com//investing/Stock/PRO?countryCode=PL
A.Plus Group Holdings Ltd. ,1841,Hong Kong,HK,XHKG,Printing,https://www.marketwatch.com//investing/Stock/1841?countryCode=HK
A.S. Co. S.A. ,ASCO,Greece,GR,XATH,Specialty Retail,https://www.marketwatch.com//investing/Stock/ASCO?countryCode=GR
A.S. Creation Tapeten AG ,ACWN,United States,XE,XETR,Furniture,https://www.marketwatch.com//investing/Stock/ACWN?countryCode=XE
A.S.T. Groupe S.A. ,ALAST,France,FR,XPAR,Residential Building Construction,https://www.marketwatch.com//investing/Stock/ALAST?countryCode=FR
A.S.T. Groupe S.A. ,0J2S,United Kingdom,UK,XLON,Residential Building Construction,https://www.marketwatch.com//investing/Stock/0J2S?countryCode=UK
A-1 Acid Ltd. ,542012,India,IN,XBOM,Wholesalers,https://www.marketwatch.com//investing/Stock/542012?countryCode=IN
A1 Capital Yatitim Menkul Degerler A.S. ,A1CAP.E,Turkey,TR,XIST,Securities,https://www.marketwatch.com//investing/Stock/A1CAP.E?countryCode=TR
A-1 Group Inc. ,AWON,United States,US,OOTC,Tobacco,https://www.marketwatch.com//investing/Stock/AWON?countryCode=US
A1 Investments & Resources Ltd. ,AYI,Australia,AU,XASX,Finance Companies,https://www.marketwatch.com//investing/Stock/AYI?countryCode=AU
A10 Networks Inc. ,ATEN,United States,US,XNYS,Networking,https://www.marketwatch.com//investing/Stock/ATEN?countryCode=US
a2 Milk Co. Ltd. ,ATM,New Zealand,NZ,XNZE,Food Products,https://www.marketwatch.com//investing/Stock/ATM?countryCode=NZ
a2 Milk Co. Ltd. ,A2M,Australia,AU,XASX,Food Products,https://www.marketwatch.com//investing/Stock/A2M?countryCode=AU
a2 Milk Co. Ltd. ,ACOPF,United States,US,OOTC,Food Products,https://www.marketwatch.com//investing/Stock/ACOPF?countryCode=US
a2 Milk Co. Ltd. ADR ,ACOPY,United States,US,OOTC,Food Products,https://www.marketwatch.com//investing/Stock/ACOPY?countryCode=US
A2A S.p.A. ,0N54,United Kingdom,UK,XLON,Electric Utilities,https://www.marketwatch.com//investing/Stock/0N54?countryCode=UK
A2A S.p.A. ,A2A,Italy,IT,XMIL,Electric Utilities,https://www.marketwatch.com//investing/Stock/A2A?countryCode=IT
A2B Australia Ltd. ,A2B,Australia,AU,XASX,Consumer Finance,https://www.marketwatch.com//investing/Stock/A2B?countryCode=AU
A2Z Infra Engineering Ltd. ,533292,India,IN,XBOM,Technical Services,https://www.marketwatch.com//investing/Stock/533292?countryCode=IN
A2Z Smart Technologies Corp. ,AZ,Canada,CA,XTSX,Defense Equipment/Products,https://www.marketwatch.com//investing/Stock/AZ?countryCode=CA
A2Z Smart Technologies Corp. ,AZ,United States,US,XNAS,Defense Equipment/Products,https://www.marketwatch.com//investing/Stock/AZ?countryCode=US
A8 New Media Group Ltd. ,800,Hong Kong,HK,XHKG,Toys & Games,https://www.marketwatch.com//investing/Stock/800?countryCode=HK
AA Industrial Belting ,Shanghai,China,CN,XSHG,Industrial Products,https://www.marketwatch.com//investing/Stock/603580?countryCode=CN
AA Plus Tradelink Ltd. ,543319,India,IN,XBOM,Wholesalers,https://www.marketwatch.com//investing/Stock/543319?countryCode=IN
AAA Technologies Ltd. ,543671,India,IN,XBOM,Computer Services,https://www.marketwatch.com//investing/Stock/543671?countryCode=IN
AAC Clyde Space AB ,0GFN,United Kingdom,UK,XLON,Aerospace Products/Parts,https://www.marketwatch.com//investing/Stock/0GFN?countryCode=UK
AAC Clyde Space AB ,AAC,Sweden,SE,XSTO,Aerospace Products/Parts,https://www.marketwatch.com//investing/Stock/AAC?countryCode=SE
AAC Clyde Space AB ,ACCMF,United States,US,OOTC,Aerospace Products/Parts,https://www.marketwatch.com//investing/Stock/ACCMF?countryCode=US
AAC Technologies Holdings Inc. ,A2XN,Germany,DE&iso,XFRA,Industrial Electronics,https://www.marketwatch.com//investing/Stock/A2XN?countryCode=DE&iso=XFRA
AAC Technologies Holdings Inc. ,2018,Hong Kong,HK,XHKG,Industrial Electronics,https://www.marketwatch.com//investing/Stock/2018?countryCode=HK
AAC Technologies Holdings Inc. ,AACAF,United States,US,OOTC,Industrial Electronics,https://www.marketwatch.com//investing/Stock/AACAF?countryCode=US
AAC Technologies Holdings Inc. ADR ,AACAY,United States,US,OOTC,Industrial Electronics,https://www.marketwatch.com//investing/Stock/AACAY?countryCode=US
Aadi Bioscience Inc. ,AADI,United States,US,XNAS,Biotechnology,https://www.marketwatch.com//investing/Stock/AADI?countryCode=US
Aadi Industries Ltd. ,530027,India,IN,XBOM,Containers/Packaging,https://www.marketwatch.com//investing/Stock/530027?countryCode=IN
Aaeon Technology Inc. ,6579,Taiwan,TW,XTAI,Computers/Consumer Electronics,https://www.marketwatch.com//investing/Stock/6579?countryCode=TW
Aages S.A. ,AAG,Romania,RO,XBSE,Industrial Machinery,https://www.marketwatch.com//investing/Stock/AAG?countryCode=RO
AAK AB ,AAK,Sweden,SE,XSTO,Food Products,https://www.marketwatch.com//investing/Stock/AAK?countryCode=SE
AAK AB ,0A0J,United Kingdom,UK,XLON,Food Products,https://www.marketwatch.com//investing/Stock/0A0J?countryCode=UK
Aalberts Industries N.V. ,AALBF,United States,US,OOTC,Industrial Products,https://www.marketwatch.com//investing/Stock/AALBF?countryCode=US
Aalberts N.V. ,AALB,Netherlands,NL,XAMS,Industrial Products,https://www.marketwatch.com//investing/Stock/AALB?countryCode=NL
Aalberts N.V. ,0NX1,United Kingdom,UK,XLON,Industrial Products,https://www.marketwatch.com//investing/Stock/0NX1?countryCode=UK
Aalborg Boldspilklub A/S ,AAB,Denmark,DK,XCSE,Recreational Services,https://www.marketwatch.com//investing/Stock/AAB?countryCode=DK
Aallon Group Oyj ,AALLON,Finland,FI,XHEL,Accounting,https://www.marketwatch.com//investing/Stock/AALLON?countryCode=FI
Aamal Co. Q.P.S.C. ,AHCS,Qatar,QA,DSMD,Diversified Holding Companies,https://www.marketwatch.com//investing/Stock/AHCS?countryCode=QA
Aamra Networks Ltd. ,AAMRANET,Bangladesh,BD,XDHA,Wired Telecommunications Services,https://www.marketwatch.com//investing/Stock/AAMRANET?countryCode=BD
Aamra Technologies Ltd. ,AAMRATECH,Bangladesh,BD,XDHA,Computer Services,https://www.marketwatch.com//investing/Stock/AAMRATECH?countryCode=BD
Aananda Lakshmi Spinning Mills Ltd. ,539096,India,IN,XBOM,Clothing,https://www.marketwatch.com//investing/Stock/539096?countryCode=IN
Aanchal Ispat Ltd. ,538812,India,IN,XBOM,Iron/Steel,https://www.marketwatch.com//investing/Stock/538812?countryCode=IN
AAON Inc. ,AAON,United States,US,XNAS,Building Materials/Products,https://www.marketwatch.com//investing/Stock/AAON?countryCode=US
aap Implantate AG ,AAQ1,United States,XE,XETR,Medical Equipment/Supplies,https://www.marketwatch.com//investing/Stock/AAQ1?countryCode=XE
AAP Inc. ,AAPJ,United States,US,OOTC,Food Products,https://www.marketwatch.com//investing/Stock/AAPJ?countryCode=US
AAPICO Hitech PCL ,AH,Thailand,TH,XBKK,Motor Vehicle Parts,https://www.marketwatch.com//investing/Stock/AH?countryCode=TH
AAR Corp. ,AIR,United States,US,XNYS,Aerospace Products/Parts,https://www.marketwatch.com//investing/Stock/AIR?countryCode=US
Aardvark Ventures Inc. ,ROCAF,United States,US,OOTC,General Mining,https://www.marketwatch.com//investing/Stock/ROCAF?countryCode=US
Aareal Bank AG ,0MG0,United Kingdom,UK,XLON,Mortgages,https://www.marketwatch.com//investing/Stock/0MG0?countryCode=UK
Aareal Bank AG ,ARL,United States,XE,XETR,Mortgages,https://www.marketwatch.com//investing/Stock/ARL?countryCode=XE
Aarey Drugs & Pharmaceuticals Ltd. ,524412,India,IN,XBOM,Pharmaceuticals,https://www.marketwatch.com//investing/Stock/524412?countryCode=IN
Aarnav Fashions Ltd. ,539562,India,IN,XBOM,Clothing,https://www.marketwatch.com//investing/Stock/539562?countryCode=IN
Aaron Industries Ltd. 144A ,AARON,India,IN,XNSE,Industrial Machinery,https://www.marketwatch.com//investing/Stock/AARON?countryCode=IN
Aaron's Co. Inc. ,AAN,United States,US,XNYS,General Services,https://www.marketwatch.com//investing/Stock/AAN?countryCode=US
Aartech Solonics Ltd. ,542580,India,IN,XBOM,Industrial Electronics,https://www.marketwatch.com//investing/Stock/542580?countryCode=IN
Aarti Drugs Ltd. ,524348,India,IN,XBOM,Pharmaceuticals,https://www.marketwatch.com//investing/Stock/524348?countryCode=IN
Aarti Industries Ltd. ,524208,India,IN,XBOM,Chemicals,https://www.marketwatch.com//investing/Stock/524208?countryCode=IN
Aarti Pharmalabs Ltd. ,543748,India,IN,XBOM,Pharmaceuticals,https://www.marketwatch.com//investing/Stock/543748?countryCode=IN
Aarti Surfactants Ltd. ,543210,India,IN,XBOM,Chemicals,https://www.marketwatch.com//investing/Stock/543210?countryCode=IN
Aarvee Denims & Exports Ltd. ,514274,India,IN,XBOM,Clothing,https://www.marketwatch.com//investing/Stock/514274?countryCode=IN
Aarvi Encon Ltd. ,AARVI,India,IN,XNSE,Employment/Training Services,https://www.marketwatch.com//investing/Stock/AARVI?countryCode=IN
Aasen Sparebank ,AASB,Norway,NO,XOSL,Banking,https://www.marketwatch.com//investing/Stock/AASB?countryCode=NO
Aashka Hospitals Ltd. ,543346,India,IN,XBOM,Healthcare Provision,https://www.marketwatch.com//investing/Stock/543346?countryCode=IN
Aastamangalam Finance Ltd. ,511764,India,IN,XBOM,Finance Companies,https://www.marketwatch.com//investing/Stock/511764?countryCode=IN
AAV Group JSC ,AAV,Vietnam,VN,HSTC,Real Estate Developers,https://www.marketwatch.com//investing/Stock/AAV?countryCode=VN
Aavas Financiers Ltd. ,541988,India,IN,XBOM,Mortgages,https://www.marketwatch.com//investing/Stock/541988?countryCode=IN
Aayan Leasing & Investment Co. K.S.C. ,AAYAN,Kuwait,KW,XKUW,Finance Companies,https://www.marketwatch.com//investing/Stock/AAYAN?countryCode=KW
A'ayan Real Estate Co. S.A.K. ,AAYANRE,Kuwait,KW,XKUW,Real Estate Developers,https://www.marketwatch.com//investing/Stock/AAYANRE?countryCode=KW
Aayush Food & Herbs Ltd. ,539528,India,IN,XBOM,Food Retail,https://www.marketwatch.com//investing/Stock/539528?countryCode=IN
AB Bank Ltd. ,ABBANK,Bangladesh,BD,XDHA,Banking,https://www.marketwatch.com//investing/Stock/ABBANK?countryCode=BD
AB Builders Group Ltd. ,1615,Hong Kong,HK,XHKG,Construction,https://www.marketwatch.com//investing/Stock/1615?countryCode=HK
AB Dynamics PLC ,ABDP,United Kingdom,UK,XLON,Precision Products,https://www.marketwatch.com//investing/Stock/ABDP?countryCode=UK
AB International Group Corp. ,ABQQ,United States,US,OOTC,Specialty Retail,https://www.marketwatch.com//investing/Stock/ABQQ?countryCode=US
AB S.A. ,ABE,Poland,PL,XWAR,Wholesalers,https://www.marketwatch.com//investing/Stock/ABE?countryCode=PL
AB Science S.A. ,AB,France,FR,XPAR,Pharmaceuticals,https://www.marketwatch.com//investing/Stock/AB?countryCode=FR
AB Science S.A. ,0Q77,United Kingdom,UK,XLON,Pharmaceuticals,https://www.marketwatch.com//investing/Stock/0Q77?countryCode=UK
AB&Company Co. Ltd. ,9251,Japan,JP,XTKS,Consumer Services,https://www.marketwatch.com//investing/Stock/9251?countryCode=JP
AB&T Financial Corp. ,ABTO,United States,US,OOTC,Banking,https://www.marketwatch.com//investing/Stock/ABTO?countryCode=US
ABA Chemicals Corp. ,300261,China,CN,XSHE,Chemicals,https://www.marketwatch.com//investing/Stock/300261?countryCode=CN
AbaCore Capital Holdings Inc. ,ABA,Philippines,PH,XPHS,Diversified Holding Companies,https://www.marketwatch.com//investing/Stock/ABA?countryCode=PH
Abacus Mining & Exploration Corp. ,AME,Canada,CA,XTSX,Non-Ferrous Metals,https://www.marketwatch.com//investing/Stock/AME?countryCode=CA
Abacus Mining & Exploration Corp. ,ABCFF,United States,US,OOTC,Non-Ferrous Metals,https://www.marketwatch.com//investing/Stock/ABCFF?countryCode=US
Abacus Property Group ,ABP,Australia,AU,XASX,Industrial/Office REITs,https://www.marketwatch.com//investing/Stock/ABP?countryCode=AU
ABAK S.A. ,ABK,Poland,PL,XWAR,Accounting,https://www.marketwatch.com//investing/Stock/ABK?countryCode=PL
Abalance Corp. ,3856,Japan,JP,XTKS,Diversified Holding Companies,https://www.marketwatch.com//investing/Stock/3856?countryCode=JP
Aban Offshore Ltd. ,523204,India,IN,XBOM,Oil & Gas Products/Services,https://www.marketwatch.com//investing/Stock/523204?countryCode=IN
Abans Electricals PLC ,ABAN.N0000,Sri Lanka,LK,XCOL,Housewares,https://www.marketwatch.com//investing/Stock/ABAN.N0000?countryCode=LK
ABans Enterprises Ltd. ,512165,India,IN,XBOM,Wholesalers,https://www.marketwatch.com//investing/Stock/512165?countryCode=IN
Abans Finance PLC ,AFSL.N0000,Sri Lanka,LK,XCOL,Finance Companies,https://www.marketwatch.com//investing/Stock/AFSL.N0000?countryCode=LK
Abans Holdings Ltd. ,543712,India,IN,XBOM,Finance Companies,https://www.marketwatch.com//investing/Stock/543712?countryCode=IN
ABAS Protect AB ,ABAS,Sweden,SE,XSAT,Building Materials/Products,https://www.marketwatch.com//investing/Stock/ABAS?countryCode=SE
Abasca Resources Inc. ,ABA,Canada,CA,XTSX,General Mining,https://www.marketwatch.com//investing/Stock/ABA?countryCode=CA
Abate AS Industries Ltd. ,531658,India,IN,XBOM,Diversified Business Services,https://www.marketwatch.com//investing/Stock/531658?countryCode=IN
Abattis Bioceuticals Corp. ,ATTBF,United States,US,OOTC,Biotechnology,https://www.marketwatch.com//investing/Stock/ATTBF?countryCode=US
Abaxx Technologies Inc. ,ABXXD,United States,US,OOTC,Computer Services,https://www.marketwatch.com//investing/Stock/ABXXD?countryCode=US
ABB India Ltd. ,500002,India,IN,XBOM,Precision Products,https://www.marketwatch.com//investing/Stock/500002?countryCode=IN
ABB Ltd. ,ABBN,Switzerland,CH,XSWX,Precision Products,https://www.marketwatch.com//investing/Stock/ABBN?countryCode=CH
ABB Ltd. ,0NX2,United Kingdom,UK,XLON,Precision Products,https://www.marketwatch.com//investing/Stock/0NX2?countryCode=UK
ABB Ltd. ,ABB,Sweden,SE,XSTO,Precision Products,https://www.marketwatch.com//investing/Stock/ABB?countryCode=SE
ABB Ltd. ,ABLZF,United States,US,OOTC,Precision Products,https://www.marketwatch.com//investing/Stock/ABLZF?countryCode=US
ABB Ltd. ADR ,ABBNY,United States,US,OOTC,Precision Products,https://www.marketwatch.com//investing/Stock/ABBNY?countryCode=US
ABB Ltd. ADR ,ABJA,Germany,DE&iso,XFRA,Precision Products,https://www.marketwatch.com//investing/Stock/ABJA?countryCode=DE&iso=XFRA
